group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
A,random_n08_00,max,high,1,reference,reference-proposed,12.720687331536388,4.125456666857941
A,random_n08_00,max,high,2,reference,reference-proposed,5.8978061004347975,2.4734158323487345
A,random_n08_00,max,high,4,reference,reference-proposed,12.28837140093743,5.019740595641094
A,random_n08_00,max,high,8,reference,reference-proposed,12.027350669595409,4.27861976739474
A,random_n08_00,max,high,16,reference,reference-proposed,12.06769185490398,3.951281344723064
A,random_n08_00,max,high,32,reference,reference-proposed,11.99599738010334,3.340499477148305
A,random_n08_00,max,high,64,reference,reference-proposed,12.058555580045551,3.5873157153722914
A,random_n08_00,max,natural,1,reference,reference-proposed,25.167974882260598,4.08975399333732
A,random_n08_00,max,natural,2,reference,reference-proposed,52.871980676328505,8.08068720885508
A,random_n08_00,max,natural,4,reference,reference-proposed,55.03113391119759,8.610222799399375
A,random_n08_00,max,natural,8,reference,reference-proposed,18.282582303792044,3.480852557673019
A,random_n08_00,max,natural,16,reference,reference-proposed,23.86675919500347,3.99885918463989
A,random_n08_00,max,natural,32,reference,reference-proposed,21.230498084291188,3.5961266820310755
A,random_n08_00,max,natural,64,reference,reference-proposed,22.8733841564468,3.292132529914822
A,random_n08_00,min,static,1,reference,reference-proposed,68.16454693255953,52.91260865362452
A,random_n08_00,min,static,2,reference,reference-proposed,23.265673989143117,18.54289797729273
A,random_n08_00,min,static,4,reference,reference-proposed,24.081456892387695,19.618939959319256
A,random_n08_00,min,static,8,reference,reference-proposed,15.167034804508484,10.216065126577247
A,random_n08_00,min,static,16,reference,reference-proposed,12.42881542529658,9.778758630661894
A,random_n08_00,min,static,32,reference,reference-proposed,14.17082817516104,10.56578330677451
A,random_n08_00,min,static,64,reference,reference-proposed,21.78220640569395,15.97939957728461
A,random_n08_00,spectrum,high,1,reference,reference-proposed,35.13383436267579,17.885440136649862
A,random_n08_00,spectrum,high,2,reference,reference-proposed,18.942925197866483,10.716084017637895
A,random_n08_00,spectrum,high,4,reference,reference-proposed,9.63046776366742,6.386074418308559
A,random_n08_00,spectrum,high,8,reference,reference-proposed,5.671269042978391,3.7621357591969646
A,random_n08_00,spectrum,high,16,reference,reference-proposed,2.4489086447754342,1.936584686550175
A,random_n08_00,spectrum,high,32,reference,reference-proposed,1.6660277701540858,1.4148966516375305
A,random_n08_00,spectrum,high,64,reference,reference-proposed,1.4364657696860788,1.3213311649764343
A,random_n08_00,spectrum,natural,1,reference,reference-proposed,58.573203532038704,13.727432970842955
