group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n08_00,max,high,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,max,high,reference,coam,2,1.0796469786268843,0.8325260645669068,1.4959421195506464,1.289202333243008,0.9717850009571191,1.4192550231358256
A,random_n08_00,max,high,reference,coam,4,1.082965732992055,1.0003032028792063,1.2179304834678382,1.0274182793580553,0.9711075105593079,1.1085033020062367
A,random_n08_00,max,high,reference,coam,8,1.02083048140543,0.9284679016245992,1.5113313368957608,1.0133968609865471,0.9427353749823504,1.5280843478004287
A,random_n08_00,max,high,reference,coam,16,1.3152767640618745,1.2032448010734464,1.689076771044955,1.4505992783775938,1.3557044037502788,1.7418187882051888
A,random_n08_00,max,high,reference,coam,32,1.3521257155304909,1.2221487317613886,1.706762882638302,1.4381798661397538,1.3404667529660335,1.711986731795628
A,random_n08_00,max,high,reference,coam,64,1.3573246511853927,1.2238798069640566,1.7212597138447396,1.420104569384358,1.3299745615238168,1.6800985645390822
A,random_n08_00,max,high,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,max,high,reference-proposed,coam,2,0.8865876730060739,0.6999760137565809,0.9113209349828784,0.9282861181097524,0.7169820072493902,0.9285864572088645
A,random_n08_00,max,high,reference-proposed,coam,4,1.0588497879622052,0.8979272667876361,1.589412918829542,1.0378815812455122,0.9472910020080673,1.5244369680218661
A,random_n08_00,max,high,reference-proposed,coam,8,1.8927230213278539,1.1823814111614395,1.9930321188968736,2.11120872099988,1.3079327398346887,2.114910597076509
A,random_n08_00,max,high,reference-proposed,coam,16,1.8610743398592628,1.4611463713314659,1.9725870558835716,1.8824058905071381,1.4345245945479146,1.9124714306030683
A,random_n08_00,max,high,reference-proposed,coam,32,1.943963321446765,1.4612892313759303,2.0328430839443565,1.6055328646695313,1.237634949678767,1.6067431808123445
A,random_n08_00,max,high,reference-proposed,coam,64,2.0082700548830914,1.521963582237063,2.044653725553367,1.521073678759458,1.1932800303560533,1.6081123464075975
A,random_n08_00,max,natural,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,max,natural,reference,coam,2,0.9212649966782602,0.7141634253590242,0.9618647058443279,0.9173206325944923,0.7118798530012868,0.96516675996902
A,random_n08_00,max,natural,reference,coam,4,0.5452996049556514,0.4944948209280102,0.7273254440103676,0.5400418445350397,0.49568897700806314,0.7134711947792562
A,random_n08_00,max,natural,reference,coam,8,1.0351239669421488,0.7868804893165264,1.55276134527909,1.0591647909212076,0.7969672289529002,1.579710175444163
A,random_n08_00,max,natural,reference,coam,16,0.9734652984394924,0.9184756892077235,1.5149187099315395,0.9792707433182151,0.9380929657668899,1.5004439129904743
A,random_n08_00,max,natural,reference,coam,32,1.0415725227208743,1.0226459850586305,1.5407278535150377,0.9898132164601057,0.9820422808183524,1.4700486315561507
A,random_n08_00,max,natural,reference,coam,64,1.045428857105595,1.0232988799670975,1.5497880650682605,0.9622737383531315,0.929433475497638,1.4370731967626849
A,random_n08_00,max,natural,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,max,natural,reference-proposed,coam,2,1.065217391304348,0.7606414957164878,1.2746040963243834,0.9731824980513598,0.7278736705233272,0.9869117755439072
A,random_n08_00,max,natural,reference-proposed,coam,4,1.0691906005221932,0.6832276624493171,1.2765907009333062,0.9502049429812102,0.7007818364774404,0.976949253744114
A,random_n08_00,max,natural,reference-proposed,coam,8,0.4482758620689655,0.4267016673766951,0.9507099040121374,0.4659679037111334,0.4568250241206502,0.8029812373477563
A,random_n08_00,max,natural,reference-proposed,coam,16,0.8884886452623336,0.7418460668172133,1.1719507764826589,0.9929255364623407,0.9281925268652124,0.9936430170580678
A,random_n08_00,max,natural,reference-proposed,coam,32,0.8786206896551724,0.7533951637845123,1.1045760070004649,0.8687867902883042,0.8382759955997012,0.8695655013072626
A,random_n08_00,max,natural,reference-proposed,coam,64,0.9501160092807425,0.9178895080187497,0.9531466613064761,0.7930116245327142,0.782327717489602,0.8236360820731689
A,random_n08_00,min,static,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
