case,group,n,m,metric,profile,steps,baseline_anf_xor_per_step,proposed_anf_xor_per_step,logical_anf_xor_ratio,baseline_degree_tests_per_step,proposed_degree_tests_per_step,mean_delta_fraction,conditional_guard_keep_fraction,actual_degree_drops,measured_time_speedup,reference_growth_factor
AES,practical,8,8,max,high,1280,8192.0,910.8703125,8.993596440217718,2048.0,2.16015625,0.87042236328125,0.866949479367528,34,10.53690690139304,8
AES,practical,8,8,max,natural,1664,8192.0,173.16887019230768,47.306424017796104,2048.0,1.7896634615384615,0.163665771484375,0.8853383458646616,23,34.817766963526964,8
AES,practical,8,8,min,static,256,270336.0,10496.0,25.75609756097561,65280.0,0.0,,,0,62.88401198485859,32.0
AES,practical,8,8,spectrum,high,128,270336.0,28522.0,9.47815721197672,65280.0,64.6953125,0.87042236328125,0.8711239122441475,67,26.90452719687235,16
AES,practical,8,8,spectrum,natural,256,270336.0,5363.0,50.40760768226739,65280.0,55.78515625,0.163665771484375,0.8837294780691007,120,85.16515724333479,16
CLEFIA_S0,practical,8,8,max,high,1280,8192.0,907.86875,9.023330740263942,2048.0,2.21171875,0.87042236328125,0.8692886061307113,21,9.442914965173282,8
CLEFIA_S0,practical,8,8,max,natural,1664,8192.0,141.65084134615384,57.83234269665305,2048.0,1.4729567307692308,0.141571044921875,0.9114828897338403,33,38.19709282333428,8
CLEFIA_S0,practical,8,8,min,static,256,270336.0,11520.0,23.466666666666665,65280.0,0.0,,,0,51.94791783090585,32.0
CLEFIA_S0,practical,8,8,spectrum,high,128,270336.0,28522.0,9.47815721197672,65280.0,58.8671875,0.87042236328125,0.9065704519559438,334,27.334271032285905,16
CLEFIA_S0,practical,8,8,spectrum,natural,256,270336.0,4639.0,58.2746281526191,65280.0,48.3984375,0.141571044921875,0.9041692402717727,134,91.0984286584271,16
CLEFIA_S1,practical,8,8,max,high,1280,8192.0,866.8171875,9.45066632057293,2048.0,1.928125,0.87042236328125,0.8698547215496368,12,11.020095889706461,8
CLEFIA_S1,practical,8,8,max,natural,1664,8192.0,172.92548076923077,47.3730069366251,2048.0,1.5600961538461537,0.16912841796875,0.9022308728851625,23,34.33868728478394,8
CLEFIA_S1,practical,8,8,min,static,256,270336.0,8704.0,31.058823529411764,65280.0,0.0,,,0,65.2238973452779,32.0
CLEFIA_S1,practical,8,8,spectrum,high,128,270336.0,28522.0,9.47815721197672,65280.0,64.859375,0.87042236328125,0.8719911802535677,60,26.578479204262266,16
CLEFIA_S1,practical,8,8,spectrum,natural,256,270336.0,5542.0,48.779501984843016,65280.0,49.3671875,0.16912841796875,0.9037288966510403,132,82.1347219460491,16
MISTY1_FI_key0000,practical,16,16,max,high,6,8388608.0,174762.66666666666,48.0,1048576.0,106995.16666666667,0.5,0.2727272727272727,10,24.72474209039639,16
MISTY1_FI_key0000,practical,16,16,max,natural,110,8388608.0,7164.0,1170.9391401451703,1048576.0,220018.0909090909,0.01214599609375,0.36789297658862874,378,51.1178502046191,16
MISTY1_FI_key0000,practical,16,16,min,static,2,34368126976.0,9568256.0,3591.890410958904,4294901760.0,0.0,,,0,2572.487813832759,4096.0
MISTY1_FI_key0000,practical,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,0.0,0.5,1.0,0,25.244567247346833,32
MISTY1_FI_key0000,practical,16,16,spectrum,natural,2,34368126976.0,26083328.0,1317.6281407035176,4294901760.0,0.0,0.01214599609375,1.0,0,222.1081219325284,32
MISTY1_S9,practical,9,9,max,high,640,20736.0,2040.71875,10.161125828828691,4608.0,3.9671875,0.87042236328125,0.8788515406162465,52,10.51162720099939,9
MISTY1_S9,practical,9,9,max,natural,2688,20736.0,274.60825892857144,75.51120305305041,4608.0,1.1923363095238095,0.1270599365234375,0.9271935283136279,25,61.64315551133363,9
MISTY1_S9,practical,9,9,min,static,128,1200384.0,24320.0,49.357894736842105,261632.0,0.0,,,0,44.659061628914756,56.888888888888886
MISTY1_S9,practical,9,9,spectrum,high,128,1200384.0,114088.0,10.521562302783815,261632.0,208.21875,0.87042236328125,0.9126257126385241,1098,19.63324062648935,18
