case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n03_00,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,min,static,reference-proposed,8448,random,304128,0,135168,0,0,0,109824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,max,natural,reference-proposed,11008,random,0,0,0,61144,0,27481,0,74992,36464,0,0,0,0,0,0,0,0,0,0,21393,8299,6410,3609
random_n03_00,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,max,high,reference-proposed,15744,random,0,0,0,124194,0,38569,0,169002,82902,0,0,0,0,0,0,0,0,0,0,26479,9789,8941,4887
random_n03_00,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,86496,0,38903,0,44472,21624,0,0,0,0,0,0,0,0,0,0,30769,12067,9040,5002
random_n03_00,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_00,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60292,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42150,15875,13657,7841
random_n03_01,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,min,static,reference-proposed,8448,random,304128,0,67584,0,0,0,135168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,max,natural,reference-proposed,11008,random,0,0,0,61440,0,31227,0,73530,35862,0,0,0,0,0,0,0,0,0,0,20998,7858,7117,3875
random_n03_01,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,max,high,reference-proposed,15744,random,0,0,0,142212,0,42966,0,169002,82902,0,0,0,0,0,0,0,0,0,0,30079,11633,10575,4799
random_n03_01,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,85068,0,42642,0,43605,21267,0,0,0,0,0,0,0,0,0,0,29159,10953,9790,5366
random_n03_01,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_01,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,59614,0,100302,49202,0,0,0,0,0,0,0,0,0,0,41956,16064,14112,7197
random_n03_02,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,min,static,reference-proposed,8448,random,304128,0,135168,0,0,0,84480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,max,natural,reference-proposed,11008,random,0,0,0,59343,0,30385,0,75250,34486,0,0,0,0,0,0,0,0,0,0,20708,8151,7182,3559
random_n03_02,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,max,high,reference-proposed,15744,random,0,0,0,178081,0,54135,0,169002,82902,0,0,0,0,0,0,0,0,0,0,38065,14650,12006,7105
random_n03_02,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,81804,0,42571,0,44625,20451,0,0,0,0,0,0,0,0,0,0,28533,10958,10033,5121
random_n03_02,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_02,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60030,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42189,15946,13653,7777
random_n03_03,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,min,static,reference-proposed,8448,random,304128,0,0,0,0,0,118272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,max,natural,reference-proposed,11008,random,0,0,0,59271,0,31375,0,71724,33884,0,0,0,0,0,0,0,0,0,0,21294,8096,7273,3840
random_n03_03,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,max,high,reference-proposed,15744,random,0,0,0,177917,0,53960,0,169002,82902,0,0,0,0,0,0,0,0,0,0,38070,14672,11968,7087
random_n03_03,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,80376,0,42937,0,42534,20094,0,0,0,0,0,0,0,0,0,0,28798,10934,9952,5226
random_n03_03,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,59979,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42221,15968,13633,7775
random_n03_04,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,min,static,reference-proposed,8448,random,304128,0,67584,0,0,0,126720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,natural,reference-proposed,11008,random,0,0,0,60886,0,30587,0,71982,35518,0,0,0,0,0,0,0,0,0,0,21145,8141,6929,3796
random_n03_04,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,high,reference-proposed,15744,random,0,0,0,159899,0,48145,0,169002,82902,0,0,0,0,0,0,0,0,0,0,34408,13213,10814,6308
