case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
AES,8,max,peigen,6912,practical,5,7,7,0,6818563556447043631,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.800747829861111,0.7961430844907408,0.8032015335648148,0.009662,0.010293,5.534769,5.556529
AES,8,max,proposed,6912,practical,5,7,7,0,6818563556447043631,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.09712528935185184,0.09603067129629629,0.09735619212962963,0.009963,0.005292,0.67133,0.686485
AES,8,min,peigen,491,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.5731323828920574,2.5467576374745415,2.6129409368635437,0.011937,0.010866,1.263408,1.28599
AES,8,min,proposed,491,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.1113136456211814,2.07393482688391,2.1335437881873727,0.011747,0.003799,1.036655,1.05198
AES,8,spectrum,peigen,640,practical,5,1785,1784,0,3003501176460699189,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.8258234375,3.78075,3.88641875,0.009893,0.015125,2.448527,2.494083
AES,8,spectrum,proposed,640,practical,5,1785,1784,0,3003501176460699189,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.2998468749999998,1.1998515625,1.4996375,0.019655,0.023996,0.831902,0.875553
CLEFIA_S0,8,max,peigen,6912,practical,5,6,7,0,8863744823894490581,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.800396701388889,0.7990034722222221,0.8074133391203703,0.009823,0.009552,5.532342,5.551536
CLEFIA_S0,8,max,proposed,6912,practical,5,6,7,0,8863744823894490581,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12281843171296296,0.09100723379629629,0.1638275462962963,0.020067,0.010074,0.848921,0.879572
CLEFIA_S0,8,min,peigen,491,practical,5,6,6,0,3159390917197768285,"[0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.240947046843178,5.037955193482689,5.727670061099796,0.023645,0.023273,2.573305,2.623471
CLEFIA_S0,8,min,proposed,491,practical,5,6,6,0,3159390917197768285,"[0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.1825967413441956,2.1815580448065175,2.206951120162933,0.011517,0.003428,1.071655,1.086941
