case,group,n,metric,steps,accepted,initial_value,final_value,baseline_us,proposed_us,paired_speedup,baseline_total_ms,proposed_total_ms,total_speedup,baseline
AES,practical,8,max,6912,0,7,7,0.800747829861111,0.09712528935185184,8.244483339043391,5.556529,0.686485,8.094173944077438,peigen
AES,practical,8,min,491,0,7,7,2.5731323828920574,2.1113136456211814,1.2187352590784784,1.28599,1.05198,1.2224471948135898,peigen
AES,practical,8,spectrum,640,0,1785,1784,3.8258234375,1.2998468749999998,2.943287791110011,2.494083,0.875553,2.8485802686987536,peigen
CLEFIA_S0,practical,8,max,6912,0,6,7,0.800396701388889,0.12281843171296296,6.516910289650039,5.551536,0.879572,6.311633385328318,peigen
CLEFIA_S0,practical,8,min,491,0,6,6,5.240947046843178,2.1825967413441956,2.4012438704620425,2.623471,1.086941,2.413627786604793,peigen
CLEFIA_S0,practical,8,spectrum,640,0,1530,1784,3.7246046875000003,1.257184375,2.9626558852992426,2.408804,0.849282,2.8362828836593734,peigen
CLEFIA_S1,practical,8,max,6912,0,7,7,0.8225251736111111,0.10328255208333333,7.963834713800045,5.70511,0.744158,7.6665304948680255,peigen
CLEFIA_S1,practical,8,min,491,0,7,7,2.689674134419552,2.0734439918533605,1.2972012482552617,1.360803,1.033036,1.3172851672158568,peigen
CLEFIA_S1,practical,8,spectrum,640,0,1785,1784,3.780359375,1.164175,3.2472432194472485,2.443084,0.766802,3.1860688939256807,peigen
MISTY1_FI_key0000,practical,16,max,512,0,4,15,90.3903671875,2.471296875,36.57608606311211,48.821239,3.731972,13.081887806232201,bitwise
MISTY1_FI_key0000,practical,16,min,1,0,3,3,2382664.091,2401.458,992.1739589032995,4765.688416,5.661025,841.8419660750482,bitwise
MISTY1_FI_key0000,practical,16,spectrum,128,0,262013,983024,46108.6748515625,10853.8980546875,4.248121238954279,8283.56356,4053.050319,2.0437850280733216,bitwise
MISTY1_S9,practical,9,max,5248,0,2,8,0.5450950838414634,0.09724637957317073,5.605299510726973,2.887672,0.531197,5.436160219278346,bitwise
MISTY1_S9,practical,9,min,138,0,2,2,148.2140072463768,7.671855072463768,19.319187581938877,20.618154,1.106988,18.625453934459994,bitwise
MISTY1_S9,practical,9,spectrum,256,0,1022,4087,6.7568203125,2.481828125,2.7225174235222274,1.893374,0.82256,2.3018065551449136,bitwise
PRESENT,practical,4,max,23808,0,3,3,0.07426348286290323,0.04475894657258065,1.6591874597065934,1.776394,1.081849,1.6419980977012503,peigen
PRESENT,practical,4,min,9594,0,2,2,0.06378392745465916,0.15266343548050865,0.41780749433483566,0.723292,1.472832,0.4910892756268197,peigen
PRESENT,practical,4,spectrum,15872,0,42,45,0.07981772933467743,0.095783203125,0.8333165600080513,1.283625,1.52852,0.8397829272760579,peigen
