case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
AES,8,max,peigen,32640,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8018771752450979,0.8011177696078431,0.8059696691176471,0.013391,0.009472,26.173271,26.19457
AES,8,max,proposed,32640,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12180248161764706,0.1217969362745098,0.12187708333333333,0.012349,0.003378,3.975633,3.991529
AES,8,min,peigen,32640,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.243386672794118,3.2369372855392156,3.2682288909313724,0.013832,0.010494,105.864141,105.909045
AES,8,min,proposed,32640,practical,5,7,7,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.44950358455882355,0.4494609068627451,0.45086731004901964,0.012268,0.003618,14.671797,14.687543
AES,8,spectrum,peigen,32640,practical,5,1785,1785,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.498133425245098,3.4884806678921567,3.502480698529412,0.012048,0.011215,114.179075,114.201106
AES,8,spectrum,proposed,32640,practical,5,1785,1785,0,16636583510454055501,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6354906556372548,1.6134102022058823,1.6447141544117647,0.012197,0.010445,53.382415,53.427129
CLEFIA_S0,8,max,peigen,32641,practical,5,6,7,1,11499459745366076993,"[0, 0, 0, 0, 0, 0, 127, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8252444778039888,0.8220125302533623,0.8270310039520848,0.024226,0.012008,26.936805,26.955739
CLEFIA_S0,8,max,proposed,32641,practical,5,6,7,1,11499459745366076993,"[0, 0, 0, 0, 0, 0, 127, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.10684890168806103,0.10659036181489537,0.10716856101222388,0.012419,0.003227,3.487655,3.513735
CLEFIA_S0,8,min,peigen,32640,practical,5,6,6,0,3159390917197768285,"[0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.676877144607843,4.673693841911765,4.699827481617647,0.024397,0.026782,152.65327,152.706452
CLEFIA_S0,8,min,proposed,32640,practical,5,6,6,0,3159390917197768285,"[0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4822560049019608,0.48203125,0.4824924632352941,0.012368,0.003758,15.740836,15.756933
CLEFIA_S0,8,spectrum,peigen,32899,practical,5,1530,1785,8,3357462115665686997,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.428627192315876,3.4259424298610903,3.4348710295145746,0.012268,0.015095,112.798406,112.855327
CLEFIA_S0,8,spectrum,proposed,32899,practical,5,1530,1785,8,3357462115665686997,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7090983616523299,1.7088454968236118,1.7137871059910634,0.012208,0.010735,56.227627,56.250169
CLEFIA_S1,8,max,peigen,32640,practical,5,7,7,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8049906862745098,0.8044133578431373,0.8060878982843137,0.011967,0.008981,26.274896,26.294099
CLEFIA_S1,8,max,proposed,32640,practical,5,7,7,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.11995107230392156,0.11994920343137255,0.11997132352941177,0.012008,0.003147,3.915203,3.930238
CLEFIA_S1,8,min,peigen,32640,practical,5,7,7,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.850609957107843,2.8496055147058823,2.8547783700980394,0.013451,0.009963,93.043909,93.065599
CLEFIA_S1,8,min,proposed,32640,practical,5,7,7,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4270512867647059,0.42696715686274506,0.43273048406862746,0.012198,0.003589,13.938954,13.954691
CLEFIA_S1,8,spectrum,peigen,32640,practical,5,1785,1785,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.0851299325980395,3.08081256127451,3.0934082414215687,0.013501,0.012398,100.698641,100.723107
CLEFIA_S1,8,spectrum,proposed,32640,practical,5,1785,1785,0,15570690943541220489,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.5977282169117648,1.5943932598039217,1.5995869485294119,0.012429,0.010484,52.149849,52.198391
identity_n08,8,max,peigen,32641,search_control,5,1,7,1,14077415320540185759,"[0, 127, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.3984337489660243,1.3960457093839036,1.3991636898379338,0.012348,0.011006,45.646276,45.667675
identity_n08,8,max,proposed,32641,search_control,5,1,7,1,14077415320540185759,"[0, 127, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06708489323243774,0.06632180386630311,0.07104243129806072,0.024245,0.006726,2.189718,2.205414
identity_n08,8,min,peigen,32640,search_control,5,1,1,0,4774620800949106213,"[0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24.853933425245096,24.853198192401962,24.858667279411765,0.023835,0.084235,811.232387,811.375067
identity_n08,8,min,proposed,32640,search_control,5,1,1,0,4774620800949106213,"[0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.4143975796568626,1.4121399203431373,1.4179410232843137,0.012158,0.004671,46.165937,46.182545
identity_n08,8,spectrum,peigen,32895,search_control,5,255,1785,8,5688707010986299275,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.966519379844961,2.9344252013983887,2.9758727466180273,0.023955,0.081368,97.583655,97.648956
identity_n08,8,spectrum,proposed,32895,search_control,5,255,1785,8,5688707010986299275,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.4206797081623348,1.4191070983432132,1.4400766681866546,0.012519,0.013321,46.733259,46.784046
random_n08_00,8,max,peigen,32640,random,5,7,7,0,14302216915676772393,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8050929534313725,0.8026286151960784,0.808162530637255,0.011887,0.007357,26.278234,26.297348
random_n08_00,8,max,proposed,32640,random,5,7,7,0,14302216915676772393,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12066167279411764,0.12061620710784314,0.1236624693627451,0.024046,0.006394,3.938397,3.972806
random_n08_00,8,min,peigen,32642,random,5,6,7,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.047383003492433,3.0452311439250046,3.052621928803382,0.012298,0.012148,99.472676,99.496161
random_n08_00,8,min,proposed,32642,random,5,6,7,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4476164757061455,0.44750281845475154,0.4484980699712028,0.012018,0.003619,14.611097,14.626422
random_n08_00,8,spectrum,peigen,32642,random,5,1784,1785,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.2708835242938545,3.269128607315728,3.271824336744072,0.011677,0.011977,106.76818,106.792065
random_n08_00,8,spectrum,proposed,32642,random,5,1784,1785,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.677443048832792,1.6713650205257031,1.7061355921818515,0.011998,0.010594,54.755096,54.777167
random_n08_01,8,max,peigen,32640,random,5,7,7,0,13088251914154843549,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8026077512254902,0.8015697916666666,0.8036954350490195,0.011857,0.009352,26.197117,26.218326
random_n08_01,8,max,proposed,32640,random,5,7,7,0,13088251914154843549,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12817656249999998,0.12760845588235295,0.12953786764705882,0.024226,0.006414,4.183683,4.198748
