case,group,n,metric,steps,accepted,initial_value,final_value,baseline_us,proposed_us,paired_speedup,baseline_total_ms,proposed_total_ms,total_speedup,baseline
AES,practical,8,max,32640,0,7,7,0.8592241421568627,0.09684332107843137,8.872311818602288,28.065684,3.176312,8.835934253310128,peigen
AES,practical,8,min,32640,0,7,7,3.122264522058823,0.23283728553921568,13.409641479147698,101.934328,7.616217,13.383852902300447,peigen
AES,practical,8,spectrum,32640,0,1785,1785,3.366216544117647,0.37135625,9.064655688756138,109.898045,12.151739,9.043812165485122,peigen
CLEFIA_S0,practical,8,max,32641,1,6,7,0.8828785576422291,0.08885726540240801,9.935918617841049,28.841203,2.916367,9.889428525285055,peigen
CLEFIA_S0,practical,8,min,32640,0,6,6,4.429999846813725,0.3406621629901961,13.004085361077262,144.621416,11.136042,12.986787944944894,peigen
CLEFIA_S0,practical,8,spectrum,32899,8,1530,1785,3.3085524484026867,0.37996829690872064,8.707443424411528,108.875812,12.526448,8.691674766861285,peigen
CLEFIA_S1,practical,8,max,32640,0,7,7,0.8712982536764706,0.09569819240196079,9.104646930181916,28.461406,3.139386,9.065914799900362,peigen
CLEFIA_S1,practical,8,min,32640,0,7,7,2.753953768382353,0.22450254289215688,12.266915701285644,89.912265,7.344171,12.242670411677507,peigen
CLEFIA_S1,practical,8,spectrum,32640,0,1785,1785,2.937226807598039,0.33548814338235294,8.755083795168602,95.894919,10.97469,8.737824849722406,peigen
identity_n08,search_control,8,max,32641,1,1,7,1.4677698599920346,0.05997423485800067,24.473340318008766,47.931457,1.973757,24.284375938882043,peigen
identity_n08,search_control,8,min,32640,0,1,1,24.52341038602941,0.6613925857843137,37.07844767710584,800.512454,21.603971,37.05394966508703,peigen
identity_n08,search_control,8,spectrum,32895,8,255,1785,2.8764948168414652,0.3395555251557988,8.471353294933541,94.686646,11.19597,8.457207906059054,peigen
random_n08_00,random,8,max,32640,0,7,7,0.8677427083333333,0.09594224877450981,9.044427448983013,28.342006,3.147382,9.004946333174683,peigen
random_n08_00,random,8,min,32642,1,6,7,2.9184206237362904,0.23729014766252066,12.298954054708304,95.288606,7.762113,12.276116825405659,peigen
random_n08_00,random,8,spectrum,32642,1,1784,1785,3.143901078365296,0.3491470804485019,9.004517735983221,102.649741,11.421507,8.987407791283585,peigen
random_n08_01,random,8,max,32640,0,7,7,0.8694420955882353,0.1040626225490196,8.354989277525435,28.399779,3.412831,8.321472408097558,peigen
random_n08_01,random,8,min,32641,1,6,7,3.1105386783493154,0.23440804509665758,13.269760758708996,101.555519,7.668022,13.244030729176313,peigen
random_n08_01,random,8,spectrum,32641,1,1784,1785,3.353648019362152,0.3653361416623265,9.17962291960117,109.492856,11.949424,9.16302375746312,peigen
random_n08_02,random,8,max,32640,0,7,7,0.869223131127451,0.10340021446078432,8.406395824808598,28.392171,3.39111,8.37253023346338,peigen
random_n08_02,random,8,min,32641,1,6,7,3.1179658405073374,0.22783101007934806,13.68543219564986,101.795604,7.453311,13.657769546983884,peigen
random_n08_02,random,8,spectrum,32641,1,1784,1785,3.3624036641034283,0.3769697313195061,8.9195587463588,109.776174,12.329226,8.9037360496109,peigen
random_n08_03,random,8,max,32640,0,7,7,0.8686937193627451,0.1038061887254902,8.368419359465728,28.375412,3.404111,8.335630653642024,peigen
random_n08_03,random,8,min,32643,1,6,7,3.0977323775388292,0.2264364488558037,13.680361060208496,101.144767,7.408233,13.653021847449992,peigen
random_n08_03,random,8,spectrum,32643,1,1784,1785,3.3796486536163957,0.3674536041417762,9.19748402389438,110.354667,12.019135,9.18158145324102,peigen
random_n08_04,random,8,max,32640,0,7,7,0.8671192708333333,0.10066798406862745,8.613654866101223,28.322709,3.301549,8.57861234226722,peigen
random_n08_04,random,8,min,32640,0,7,7,2.9865510416666665,0.2374704963235294,12.576514084502499,97.505222,7.767325,12.553256365608496,peigen
random_n08_04,random,8,spectrum,32640,0,1785,1785,3.2521580575980393,0.35934589460784316,9.050216257923703,106.174716,11.753296,9.033612018279808,peigen
random_n08_05,random,8,max,32640,0,7,7,0.8691883884803921,0.09892708333333333,8.786151973688286,28.390927,3.244336,8.750920681458394,peigen
random_n08_05,random,8,min,32640,0,7,7,3.0999734374999997,0.23030575980392157,13.460251450676981,101.216,7.533427,13.435585159317267,peigen
random_n08_05,random,8,spectrum,32640,0,1785,1785,3.3837835477941174,0.36997110906862746,9.146075098438148,110.470791,12.100384,9.129527707550439,peigen
