case,n,metric,method,steps,group,m,profile,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms,input_conversion_ms,state_init_ms
AES,8,max,reference,1280,practical,8,high,8.87703125,8.86670078125,8.91927109375,0.011557,0.030801,11.3626,11.404678,0.001623,0.029187
AES,8,max,reference-proposed,1280,practical,8,high,0.8424703124999999,0.82932265625,1.08308359375,0.011918,0.022172,1.078362,1.11206,0.001644,0.020528
AES,8,max,reference,1664,practical,8,natural,9.184169471153846,9.16669891826923,9.21723858173077,0.012499,0.032726,15.282458,15.327683,0.001643,0.031103
AES,8,max,reference-proposed,1664,practical,8,natural,0.2637782451923077,0.2632722355769231,0.28252884615384616,0.011958,0.022813,0.438927,0.486377,0.001624,0.021069
AES,8,min,reference,256,practical,8,static,372.28784375,371.970921875,372.71647265625,0.011938,0.411689,95.305688,95.729054,0.001624,0.410065
AES,8,min,reference-proposed,256,practical,8,static,5.92023046875,5.902109375,5.92063671875,0.014093,0.024958,1.515579,1.553096,0.001634,0.023274
AES,8,spectrum,reference,128,practical,8,high,392.4195546875,392.369296875,392.5398984375,0.013262,0.418167,50.229703,50.659907,0.001643,0.416573
AES,8,spectrum,reference-proposed,128,practical,8,high,14.5856328125,14.4679375,14.74921875,0.012078,0.196603,1.866961,2.087512,0.001613,0.19498
AES,8,spectrum,reference,256,practical,8,natural,385.77287890625,383.73360546875,386.69037890625,0.023745,0.644755,98.757857,99.181495,0.003327,0.641428
AES,8,spectrum,reference-proposed,256,practical,8,natural,4.529703125,4.52787890625,4.57455078125,0.012318,0.200347,1.159604,1.372089,0.001614,0.198703
CLEFIA_S0,8,max,reference,1280,practical,8,high,9.0111671875,8.98534609375,9.04238046875,0.012209,0.031574,11.534294,11.575589,0.001634,0.02994
CLEFIA_S0,8,max,reference-proposed,1280,practical,8,high,0.9542781250000001,0.838365625,0.9893015625,0.024356,0.044926,1.221476,1.290939,0.003327,0.041408
CLEFIA_S0,8,max,reference,1664,practical,8,natural,9.078787860576924,8.983173076923077,9.16004387019231,0.023905,0.062244,15.107103,15.193194,0.003348,0.058896
CLEFIA_S0,8,max,reference-proposed,1664,practical,8,natural,0.23768269230769232,0.23665745192307694,0.2510546875,0.012098,0.022351,0.395504,0.429233,0.001614,0.020638
CLEFIA_S0,8,min,reference,256,practical,8,static,328.619484375,328.48859765625,329.27827734375,0.012529,0.393361,84.126588,84.642619,0.001673,0.391747
