n,metric,profile,steps,independent_inputs,repeats_per_input,reference_growth_factor,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3,speedup_over_reference_factor,speedup_over_reference_factor_q1,speedup_over_reference_factor_q3
3,max,high,15744,10,5,3,0.08395591971544716,0.08184443279979675,0.08769917111280488,0.03164777057926829,0.029809086001016262,0.036035981961382114,2.64307290412485,2.315727676926217,2.9435182196082037,1.330357,1.2983912499999999,1.390749,0.510421,0.47707475,0.5834982500000001,2.603888222562456,2.2664081897642196,2.8993259368458277,0.8810243013749501,0.7719092256420724,0.9811727398694012
3,max,natural,11008,10,5,3,0.0974301871366279,0.09261873183139535,0.09982496820494186,0.03517682594476745,0.03207966933139535,0.03723918968023256,2.704765737996974,2.452138196734784,3.024555357412468,1.0835865,1.029465,1.11650675,0.39753499999999997,0.36579975,0.427793,2.6613556392303606,2.3577023391247436,2.9768567132321837,0.9015885793323246,0.8173793989115947,1.008185119137489
3,min,static,8448,10,5,2.6666666666666665,0.13085931581439394,0.12995220762310605,0.1420630918560606,0.05860611979166666,0.055617927320075755,0.06647620738636363,2.273475943512748,2.1647025604579753,2.342918253032372,1.114159,1.1075210000000002,1.214883,0.5055885,0.47790875,0.56966025,2.250483354978746,2.1522415238513415,2.321666299820651,0.8525534788172805,0.8117634601717407,0.8785943448871396
3,spectrum,high,9344,10,5,6,0.22392396190068492,0.22149309717465754,0.22613214362157535,0.05365630351027397,0.05266764768835616,0.06206381100171233,4.1469702104324995,3.594585387565762,4.2983641491403635,2.1005895,2.07850825,2.12109075,0.5092734999999999,0.50002525,0.5941675,4.1072069528031045,3.524969388344,4.246281584463687,0.6911617017387499,0.5990975645942936,0.7163940248567272
3,spectrum,natural,6528,10,5,6,0.2868091299019608,0.27678768382352936,0.3087435661764706,0.0724439338235294,0.0645353094362745,0.09163717830882352,4.056952747310106,3.0101673453783926,4.526419994127803,1.8833000000000002,1.8213035,2.02925225,0.49340100000000003,0.4315005,0.6188622500000001,3.9536542731220363,2.928305976588332,4.3956270500083665,0.676158791218351,0.5016945575630655,0.7544033323546339
4,max,high,8960,10,5,4,0.28094285714285716,0.2749388392857143,0.28578763950892855,0.07356294642857142,0.07106450892857143,0.08146707589285715,3.8287257514572017,3.2529124526302375,3.998995268952359,2.527878,2.47456575,2.571257,0.6740349999999999,0.6544712500000001,0.752051,3.7849195294955207,3.1432447677402333,3.91063730828191,0.9571814378643004,0.8132281131575594,0.9997488172380897
4,max,natural,8064,10,5,4,0.32715835813492067,0.31783506944444445,0.32969788566468256,0.0905491691468254,0.07274937996031747,0.09173682415674603,3.612063427871983,3.574450807288442,4.442101844499507,2.6594575000000003,2.57423125,2.67473675,0.7411735,0.60330175,0.75163325,3.58817642558344,3.5614118712967446,4.369253872102343,0.9030158569679958,0.8936127018221105,1.1105254611248767
4,min,static,7808,10,5,4.0,0.4985408555327869,0.4930493724385246,0.5034681736680328,0.1345945824795082,0.13196705302254097,0.14119672131147543,3.6828943057301116,3.559319122533265,4.020907819077586,3.9057315,3.85971525,3.9490765000000003,1.0604265000000002,1.0391344999999998,1.11105675,3.659913414680968,3.5428484812083707,4.008795819138751,0.9207235764325279,0.8898297806333163,1.0052269547693966
4,spectrum,high,3712,10,5,8,1.1236309267241378,1.1018511584051724,1.157674838362069,0.2264424838362069,0.22216352370689654,0.2346818426724138,4.9439359577321085,4.721821052711192,5.067753345007663,4.189235500000001,4.10245475,4.30987275,0.8514695,0.836158,0.89346875,4.862014517585585,4.633370372715664,5.022939830060022,0.6179919947165136,0.590227631588899,0.6334691681259579
4,spectrum,natural,3584,10,5,8,1.1695913783482144,1.130955357142857,1.171128696986607,0.23679715401785714,0.23563929966517858,0.23899274553571428,4.900288888826833,4.843078873835766,5.0065354097998345,4.2068425000000005,4.067381,4.21538325,0.8599870000000001,0.85545125,0.86930125,4.855852338749166,4.796496552906519,4.968375418189211,0.6125361111033542,0.6053848592294707,0.6258169262249793
5,max,high,5760,10,5,5,0.6962599826388889,0.6880158420138889,0.718736545138889,0.14256692708333335,0.13743025173611112,0.14576788194444446,4.985826474831438,4.898152087358479,5.014410362236914,4.0365255,3.980078,4.155188,0.8390915,0.8047015,0.85120275,4.937380502770164,4.8186924880125925,4.9514509901018755,0.9971652949662875,0.9796304174716959,1.0028820724473828
5,max,natural,6400,10,5,5,0.7140926562500001,0.7137128125000001,0.7167432421875,0.117528828125,0.114750859375,0.1187945703125,6.104377407400168,5.997220000781036,6.1965230963676925,4.5846944999999995,4.580321250000001,4.60230775,0.7635765,0.7455915,0.773071,6.040567129254205,5.929368618228287,6.11280418732872,1.2208754814800336,1.1994440001562072,1.2393046192735386
5,min,static,2816,10,5,6.4,2.278159090909091,2.2570296519886366,2.2883623046875,0.36046164772727274,0.3556145241477273,0.36674849076704547,6.371872850691258,6.258509787329038,6.5302357544951,6.436138,6.37865075,6.4809215,1.0398405,1.013461,1.053541,6.29267946289797,6.159085754367995,6.420091270065597,0.9956051329205089,0.9778921542701621,1.0203493366398595
5,spectrum,high,1792,10,5,10,4.14958203125,4.100680385044643,4.293741489955357,0.5518136160714286,0.5505290178571429,0.6020443638392857,7.450649406875475,6.8992651929204545,7.558042405486578,7.4601465000000005,7.3664457500000005,7.73051825,1.005839,1.00254075,1.10844975,7.3376706849710756,6.756746566390153,7.459453272811668,0.7450649406875475,0.6899265192920455,0.7558042405486578
5,spectrum,natural,2048,10,5,10,4.196291259765625,4.182686767578125,4.231173950195313,0.453553955078125,0.4462342529296875,0.4875660400390625,9.27061180177703,8.880859069039708,9.378713828433064,8.613462,8.58801225,8.69709975,0.943673,0.9281325,1.0278880000000001,9.156328797014199,8.644406520943686,9.25613575129027,0.9270611801777031,0.8880859069039708,0.9378713828433063
6,max,high,3456,10,5,6,1.5790580150462963,1.5765740740740741,1.593339626736111,0.24376012731481483,0.23892230902777778,0.2733087384259259,6.509708498039721,5.915988793678121,6.5987985587756155,5.4723489999999995,5.4630465,5.521115,0.8553455,0.8388915,0.9708574999999999,6.42883076568628,5.7817108973283275,6.512322071221277,1.0849514163399534,0.9859981322796868,1.099799759795936
6,max,natural,4992,10,5,6,1.6678650841346154,1.656672375801282,1.6710706129807693,0.14737660256410257,0.14581009615384616,0.15484304887820513,11.293958086534296,10.707651988267854,11.43795804797,8.340526,8.285043000000002,8.3659385,0.7487790000000001,0.7421365,0.79928475,11.099067719639258,10.37341024170716,11.25141890931476,1.8823263477557162,1.7846086647113089,1.9063263413283333
6,min,static,1152,10,5,10.666666666666666,9.404665798611111,9.367966796874999,9.459784505208333,0.9124405381944445,0.8761406249999999,0.965423828125,10.366393269591995,9.758186106102592,10.71618494894446,10.8810655,10.829203750000001,10.9347065,1.078614,1.0229024999999998,1.12626475,10.1546470412128,9.669711737239087,10.609991452011649,0.9718493690242496,0.914829947447118,1.004642338963543
